ID,商品名1,商品名2,価格,カテゴリ,おすすめ,在庫
1,グレンアラヒー,12年,1500,スコッチ・スペイサイド,0,1
2,グレンアラヒー,15年,1800,スコッチ・スペイサイド,0,1
3,グレンフィディック,12年,900,スコッチ・スペイサイド,0,1
4,グレンフィディック,15年,1300,スコッチ・スペイサイド,0,1
5,グレンフィディック,マスターエディション,1000,スコッチ・スペイサイド,0,1
6,グレンフィディック,プロジェクトXX,1400,スコッチ・スペイサイド,0,1
7,グレンフィディック,スペシャルオールドリザーブ,1300,スコッチ・スペイサイド,0,1
8,グレンフィディック,21年グランレゼルヴァ,4000,スコッチ・スペイサイド,0,1
9,グレングラント,アルボラリス,700,スコッチ・スペイサイド,0,1
10,グレングラント,10年,800,スコッチ・スペイサイド,0,1
11,グレングラント,12年,900,スコッチ・スペイサイド,0,1
12,グレンファークラス,10年,900,スコッチ・スペイサイド,0,1
13,グレンファークラス,12年,1000,スコッチ・スペイサイド,0,1
14,グレンファークラス,15年,1600,スコッチ・スペイサイド,0,1
15,グレンファークラス,ファミリーカスク1987,18000,スコッチ・スペイサイド,0,1
16,グレンファークラス,ファミリーカスク1993,15000,スコッチ・スペイサイド,0,1
17,グレンファークラス,ファミリーカスク1996,9500,スコッチ・スペイサイド,0,1
18,バルヴェニー,12年ダブルウッド,1600,スコッチ・スペイサイド,0,1
19,バルヴェニー,14年カリビアンカスク,2400,スコッチ・スペイサイド,0,1
20,マッカラン,12年シェリーオークカスク,1800,スコッチ・スペイサイド,0,1
21,マッカラン,18年シェリーオークカスク,8000,スコッチ・スペイサイド,0,1
22,マッカラン,レアカスク2023,4800,スコッチ・スペイサイド,0,1
23,ベンリアック,10年,900,スコッチ・スペイサイド,0,1
24,ベンリアック,12年スモーキー,1200,スコッチ・スペイサイド,0,1
25,インチガワー,14年(花と動物シリーズ),1500,スコッチ・スペイサイド,0,1
26,リンクウッド,12年(花と動物シリーズ),1500,スコッチ・スペイサイド,0,1
27,キャパドニック,21年,3000,スコッチ・スペイサイド,0,1
28,キャパドニック,30年,12000,スコッチ・スペイサイド,0,1
29,ザ　シングルトン,ダフタウン12年,700,スコッチ・スペイサイド,0,1
30,クラガンモア,12年,1200,スコッチ・スペイサイド,0,1
31,グレンマレイ,16年,1500,スコッチ・スペイサイド,0,1
32,ローズアイル,12年,2200,スコッチ・スペイサイド,0,1
33,グレンドロナック,12年,1100,スコッチ・ハイランド,0,1
34,グレンドロナック,15年,1900,スコッチ・ハイランド,0,1
35,グレンモーレンジィ,12年,800,スコッチ・ハイランド,0,1
36,グレンモーレンジィ,12年ラサンタ,1100,スコッチ・ハイランド,0,1
37,グレンモーレンジィ,16年ネクター,1300,スコッチ・ハイランド,0,1
38,グレンモーレンジィ,18年インフィニータ,2000,スコッチ・ハイランド,0,1
39,オーバン,12年スペシャルリリース2025CS,2800,スコッチ・ハイランド,0,1
40,オーバン,14年,1600,スコッチ・ハイランド,0,1
41,ロイヤルブラックラ,12年,1300,スコッチ・ハイランド,0,1
42,ロイヤルブラックラ,18年,2200,スコッチ・ハイランド,0,1
43,ロイヤルブラックラ,21年,3600,スコッチ・ハイランド,0,1
44,ブレアアソール,12年(花と動物シリーズ),1700,スコッチ・ハイランド,0,1
45,ロイヤルロッホナガー,12年,900,スコッチ・ハイランド,0,1
46,ダルヴィニー,15年,1300,スコッチ・ハイランド,0,1
47,クライヌリッシュ,14年,1300,スコッチ・ハイランド,0,1
48,グレンキンチー,12年,900,スコッチ・ローランド,0,1
49,キャンベルタウンロッホ,,1800,スコッチ・キャンベルタウン,0,1
50,スプリングバンク,10年,2000,スコッチ・キャンベルタウン,0,1
51,ザ・ゴールドロンズ,エクリプス,2400,スコッチ・キャンベルタウン,0,1
52,タリスカー,10年,900,スコッチ・アイランズ,0,1
53,タリスカー,ポートリー,1700,スコッチ・アイランズ,0,1
54,アラン,バレルリザーブ,900,スコッチ・アイランズ,0,1
55,アラン,10年,1200,スコッチ・アイランズ,0,1
56,アラン,クォーターカスク,1300,スコッチ・アイランズ,0,1
57,アラン,シェリーカスク,1600,スコッチ・アイランズ,0,1
58,ラグ,キルモリーエディション,1300,スコッチ・アイランズ,0,1
59,ハイランドパーク,12年,900,スコッチ・アイランズ,0,1
60,アードベッグ,5年ウィービースティー,800,スコッチ・アイラ,0,1
61,アードベッグ,10年,1000,スコッチ・アイラ,0,1
62,アードベッグ,アンオー,1400,スコッチ・アイラ,0,1
63,アードベッグ,ウーガダール,1500,スコッチ・アイラ,0,1
64,アードベッグ,アードコア,2500,スコッチ・アイラ,0,1
65,アードベッグ,スモーキーバース,2700,スコッチ・アイラ,0,1
66,アードベッグ,ヘビーヴェーパーズ,3000,スコッチ・アイラ,0,1
67,ラフロイグ,10年,1300,スコッチ・アイラ,0,1
68,ラフロイグ,10年カスクストレングス(バッチ16),2000,スコッチ・アイラ,0,1
69,ラフロイグ,10年シェリーオークフィニッシュ,2000,スコッチ・アイラ,0,1
70,ラフロイグ,PXカスク,1300,スコッチ・アイラ,0,1
71,ボウモア,12年,1200,スコッチ・アイラ,0,1
72,ボウモア,12年シェリーカスク,1300,スコッチ・アイラ,0,1
73,ボウモア,15年,1500,スコッチ・アイラ,0,1
74,ラガヴーリン,8年,1200,スコッチ・アイラ,0,1
75,ラガヴーリン,12年カスクストレングス,3200,スコッチ・アイラ,0,1
76,ラガヴーリン,16年,1600,スコッチ・アイラ,0,1
77,アードナッホー,インフィニットロッホ,1800,スコッチ・アイラ,0,1
78,アードナッホー,ボルサ,1900,スコッチ・アイラ,0,1
79,ブルックラディ,ザ・クラシック・ラディ,1000,スコッチ・アイラ,0,1
80,ポートシャーロット,10年,1200,スコッチ・アイラ,0,1
81,カリラ,12年,1100,スコッチ・アイラ,0,1
82,キルホーマン,マキヤーベイ,1400,スコッチ・アイラ,0,1
83,ブナハーブン,12年,1200,スコッチ・アイラ,0,1
84,オクトモア,16.1,3200,スコッチ・アイラ,0,1
85,デュワーズ,ホワイトラベル,500,スコッチ・ブレンデッド,0,1
86,デュワーズ,12年,600,スコッチ・ブレンデッド,0,1
87,デュワーズ,15年,1100,スコッチ・ブレンデッド,0,1
88,デュワーズ,ダブルダブル21年,2700,スコッチ・ブレンデッド,0,1
89,モンキーショルダー,,800,スコッチ・ブレンデッド,0,1
90,モンキーショルダー,スモーキーモンキー,1000,スコッチ・ブレンデッド,0,1
91,ジョニーウォーカー,黒ラベル80年代流通,900,スコッチ・ブレンデッド,0,1
92,ジョニーウォーカー,黒ラベル90年代流通,600,スコッチ・ブレンデッド,0,1
93,ジョニーウォーカー,ブルーラベル,2800,スコッチ・ブレンデッド,0,1
94,ホワイトホース,1989年以前,900,スコッチ・ブレンデッド,0,1
95,シーバスリーガル,12年,500,スコッチ・ブレンデッド,0,1
96,シーバスリーガル,12年旧,500,スコッチ・ブレンデッド,0,1
97,シーバスリーガル,ミズナラ12年,800,スコッチ・ブレンデッド,0,1
98,シーバスリーガル,13年オロロソシェリーカスク,800,スコッチ・ブレンデッド,0,1
